method,seed,status,run_id,summary_path,raw_prediction_path,selected_epoch,val_expected_count_mae,roc_auc,count_mae
group_prior,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_group_prior_s0_64c279d6b958_88cef899_20260727T043652Z,results/rebuttal/4090_criteo_extra_baselines/group_prior_s0.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_group_prior_s0_64c279d6b958_88cef899_20260727T043652Z/raw_test_probs_labels.pt,0,6.955652236938477,0.6989923134366904,5.793704032897949
group_prior,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_group_prior_s1_1d88caeea050_88cef899_20260727T043655Z,results/rebuttal/4090_criteo_extra_baselines/group_prior_s1.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_group_prior_s1_1d88caeea050_88cef899_20260727T043655Z/raw_test_probs_labels.pt,0,6.863770961761475,0.6939828395975293,5.820870876312256
group_prior,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_group_prior_s2_e8bd54320ae0_88cef899_20260727T043658Z,results/rebuttal/4090_criteo_extra_baselines/group_prior_s2.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_group_prior_s2_e8bd54320ae0_88cef899_20260727T043658Z/raw_test_probs_labels.pt,0,6.892043590545654,0.697629590121659,5.7796125411987305
dllp_bce,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_bce_s0_dbf3e0860ea5_c046977d_20260727T000953Z,results/rebuttal/4090_criteo_strictv1/dllp_bce_s0.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_dllp_bce_s0_dbf3e0860ea5_c046977d_20260727T000953Z/raw_test_probs_labels.pt,12,4.866052627563477,0.7522072625805514,4.623905181884766
dllp_bce,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_bce_s1_b78eb4072d4c_c046977d_20260727T001026Z,results/rebuttal/4090_criteo_strictv1/dllp_bce_s1.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_dllp_bce_s1_b78eb4072d4c_c046977d_20260727T001026Z/raw_test_probs_labels.pt,11,4.757598876953125,0.7532907358546381,4.691185474395752
dllp_bce,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_bce_s2_cda1e41963a2_c046977d_20260727T001057Z,results/rebuttal/4090_criteo_strictv1/dllp_bce_s2.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_dllp_bce_s2_cda1e41963a2_c046977d_20260727T001057Z/raw_test_probs_labels.pt,12,4.997391700744629,0.7509943751307157,4.599005699157715
dllp_mse,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_mse_s0_285d9a89786b_c046977d_20260727T000953Z,results/rebuttal/4090_criteo_strictv1/dllp_mse_s0.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_dllp_mse_s0_285d9a89786b_c046977d_20260727T000953Z/raw_test_probs_labels.pt,10,4.815166473388672,0.7474146405577843,4.552881240844727
dllp_mse,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_mse_s1_51f08a3f2044_c046977d_20260727T001024Z,results/rebuttal/4090_criteo_strictv1/dllp_mse_s1.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_dllp_mse_s1_51f08a3f2044_c046977d_20260727T001024Z/raw_test_probs_labels.pt,9,4.8531270027160645,0.748185859423632,4.615963459014893
dllp_mse,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_mse_s2_fd1a9c0b28a9_c046977d_20260727T001053Z,results/rebuttal/4090_criteo_strictv1/dllp_mse_s2.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_dllp_mse_s2_fd1a9c0b28a9_c046977d_20260727T001053Z/raw_test_probs_labels.pt,9,5.039080619812012,0.7459099237234733,4.615518569946289
easyllp,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_easyllp_s0_a7dbedc97469_c046977d_20260727T000952Z,results/rebuttal/4090_criteo_strictv1/easyllp_s0.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_easyllp_s0_a7dbedc97469_c046977d_20260727T000952Z/raw_test_probs_labels.pt,2,37.482723236083984,0.686212837970194,37.67947006225586
easyllp,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_easyllp_s1_59ca5390cbd9_c046977d_20260727T001009Z,results/rebuttal/4090_criteo_strictv1/easyllp_s1.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_easyllp_s1_59ca5390cbd9_c046977d_20260727T001009Z/raw_test_probs_labels.pt,4,36.695892333984375,0.6880445347297224,37.075660705566406
easyllp,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_easyllp_s2_eed00346e330_c046977d_20260727T001031Z,results/rebuttal/4090_criteo_strictv1/easyllp_s2.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_easyllp_s2_eed00346e330_c046977d_20260727T001031Z/raw_test_probs_labels.pt,2,33.96406555175781,0.6970591739693022,34.72444534301758
genbags,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_genbags_s0_049235390f64_88cef899_20260727T043652Z,results/rebuttal/4090_criteo_extra_baselines/genbags_s0.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_genbags_s0_049235390f64_88cef899_20260727T043652Z/raw_test_probs_labels.pt,12,4.886612892150879,0.7474945693242653,4.659131050109863
genbags,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_genbags_s1_8f86ada30a3c_88cef899_20260727T043732Z,results/rebuttal/4090_criteo_extra_baselines/genbags_s1.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_genbags_s1_8f86ada30a3c_88cef899_20260727T043732Z/raw_test_probs_labels.pt,5,5.597804069519043,0.7451753869086402,5.306841850280762
